CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2008 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 
Done!10.40 s

Number of sentences: 1600
Number of features:  2207527
Number of thread(s): 3
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=211 terr=0.01237 serr=0.64000 act=2207527 obj=11441.92526 diff=0.00347
iter=212 terr=0.01202 serr=0.62250 act=2207527 obj=11435.16438 diff=0.00059
iter=213 terr=0.01191 serr=0.62875 act=2207527 obj=11409.19239 diff=0.00227
iter=214 terr=0.01166 serr=0.62875 act=2207527 obj=11393.77580 diff=0.00135
iter=215 terr=0.01171 serr=0.62375 act=2207527 obj=11372.99026 diff=0.00182
iter=216 terr=0.01205 serr=0.62438 act=2207527 obj=11370.40328 diff=0.00023
iter=217 terr=0.01149 serr=0.61250 act=2207527 obj=11331.57225 diff=0.00342
iter=218 terr=0.01147 serr=0.61250 act=2207527 obj=11320.93681 diff=0.00094
iter=219 terr=0.01139 serr=0.60625 act=2207527 obj=11311.09986 diff=0.00087
iter=220 terr=0.01150 serr=0.60688 act=2207527 obj=11294.74887 diff=0.00145
iter=221 terr=0.01134 serr=0.60188 act=2207527 obj=11283.86303 diff=0.00096
iter=222 terr=0.01116 serr=0.60313 act=2207527 obj=11245.49927 diff=0.00340
iter=223 terr=0.01115 serr=0.60125 act=2207527 obj=11226.47729 diff=0.00169
iter=224 terr=0.01106 serr=0.60313 act=2207527 obj=11212.74962 diff=0.00122
iter=225 terr=0.01173 serr=0.61562 act=2207527 obj=11220.48556 diff=0.00069
iter=226 terr=0.01116 serr=0.60500 act=2207527 obj=11201.95706 diff=0.00165
iter=227 terr=0.01110 serr=0.60750 act=2207527 obj=11182.53891 diff=0.00173
iter=228 terr=0.01100 serr=0.60500 act=2207527 obj=11159.55462 diff=0.00206
iter=229 terr=0.01122 serr=0.60500 act=2207527 obj=11142.40476 diff=0.00154
iter=230 terr=0.01120 serr=0.60062 act=2207527 obj=11113.15989 diff=0.00262
iter=231 terr=0.01160 serr=0.61500 act=2207527 obj=11127.38942 diff=0.00128
iter=232 terr=0.01118 serr=0.60250 act=2207527 obj=11098.72385 diff=0.00258
iter=233 terr=0.01108 serr=0.60438 act=2207527 obj=11079.22774 diff=0.00176
iter=234 terr=0.01105 serr=0.60375 act=2207527 obj=11064.06811 diff=0.00137
iter=235 terr=0.01091 serr=0.60062 act=2207527 obj=11047.58965 diff=0.00149
iter=236 terr=0.01071 serr=0.60062 act=2207527 obj=11027.80903 diff=0.00179
iter=237 terr=0.01051 serr=0.59437 act=2207527 obj=11002.91554 diff=0.00226
iter=238 terr=0.01076 serr=0.59188 act=2207527 obj=10986.13360 diff=0.00153
iter=239 terr=0.01065 serr=0.59000 act=2207527 obj=10971.29621 diff=0.00135
iter=240 terr=0.01057 serr=0.58250 act=2207527 obj=10954.16032 diff=0.00156
iter=241 terr=0.01036 serr=0.57937 act=2207527 obj=10940.96857 diff=0.00120
iter=242 terr=0.01048 serr=0.58625 act=2207527 obj=10927.71590 diff=0.00121
iter=243 terr=0.01029 serr=0.58625 act=2207527 obj=10920.03824 diff=0.00070
iter=244 terr=0.01040 serr=0.58750 act=2207527 obj=10909.83917 diff=0.00093
iter=245 terr=0.01028 serr=0.58188 act=2207527 obj=10887.06308 diff=0.00209
iter=246 terr=0.01012 serr=0.57063 act=2207527 obj=10884.57905 diff=0.00023
iter=247 terr=0.01013 serr=0.57500 act=2207527 obj=10872.20723 diff=0.00114
iter=248 terr=0.01010 serr=0.57188 act=2207527 obj=10851.74232 diff=0.00188
iter=249 terr=0.01016 serr=0.57625 act=2207527 obj=10840.96672 diff=0.00099
iter=250 terr=0.00991 serr=0.57000 act=2207527 obj=10823.67853 diff=0.00159
iter=251 terr=0.00985 serr=0.56125 act=2207527 obj=10808.38583 diff=0.00141
iter=252 terr=0.00981 serr=0.56063 act=2207527 obj=10795.10300 diff=0.00123
iter=253 terr=0.00976 serr=0.56063 act=2207527 obj=10782.18219 diff=0.00120
iter=254 terr=0.00969 serr=0.56125 act=2207527 obj=10771.98995 diff=0.00095
iter=255 terr=0.00952 serr=0.55500 act=2207527 obj=10752.89951 diff=0.00177
